"D001","Dr. Rahman","Medicine","01711111111"
"D002","Dr. Karim","Cardiology","01822222222"
"D003","Dr. Sultana","Gynecology","01533333333"
"D004","Dr. Chowdhury","Pediatrics","01644444444"
"D005","Dr. Haque","Neurology","01755555555"
"D006","Dr. Ali","Orthopedics","01866666666"
"D007","Dr. Karim Ahmed","Nephrology","01154329484"
"D008","Dr. Fatema Majumder","Gynecology","01637656397"
"D009","Dr. Mahmud Hasan","Orthopedics","01185044327"
"D010","Dr. Sharmin Uddin","Gastroenterology","01948465085"
"D011","Dr. Tanvir Sikder","Gastroenterology","01443518892"
"D012","Dr. Nusrat Bhuiyan","Hematology","01456314252"
"D013","Dr. Rafik Parvez","ENT","01093201216"
"D014","Dr. Shirin Majumder","Neurology","01355766471"
"D015","Dr. Jahid Karmakar","Nephrology","01659128747"
"D016","Dr. Salma Uddin","Anesthesiology","01692659380"
"D017","Dr. Sabbir Ahmed","Cardiology","01516225251"
"D018","Dr. Nazma Bhuiyan","Endocrinology","01366181278"
"D019","Dr. Nasir Hasan","Anesthesiology","01987444464"
"D020","Dr. Rupa Majumder","Gynecology","01944738905"
"D021","Dr. Faruk Sikder","Radiology","01684387532"
"D022","Dr. Mitu Uddin","Oncology","01504208602"
"D023","Dr. Shakil Parvez","Endocrinology","01770274802"
"D024","Dr. Shila Bhuiyan","Endocrinology","01661594840"
"D025","Dr. Rakib Karmakar","Psychiatry","01281271193"
"D026","Dr. Rebeka Majumder","Urology","01340154468"
"D027","Dr. Sohel Ahmed","Cardiology","01296463170"
"D028","Dr. Roksana Uddin","Dermatology","01280573315"
"D029","Dr. Rubel Hasan","Pediatrics","01571890225"
"D030","Dr. Parvin Bhuiyan","Orthopedics","01519856332"
"D031","Dr. Kamal Sikder","Nephrology","01039718466"
"D032","Dr. Kohinoor Majumder","Pediatrics","01797053740"
"D033","Dr. Jashim Parvez","Oncology","01562151304"
"D034","Dr. Munni Uddin","Psychiatry","01608014468"
"D035","Dr. Nayeem Karmakar","Pediatrics","01555103893"
"D036","Dr. Tania Bhuiyan","Nephrology","01839923225"
"D037","Dr. Emon Ahmed","Urology","01769926792"
"D038","Dr. Sultana Majumder","Oncology","01027818740"
"D039","Dr. Milon Hasan","Gastroenterology","01178152561"
"D040","Dr. Jasmin Uddin","Gastroenterology","01464907314"
"D041","Dr. Rashed Sikder","Anesthesiology","01771814971"
"D042","Dr. Rumi Bhuiyan","Orthopedics","01754726988"
"D043","Dr. Arif Parvez","Ophthalmology","01268317636"
"D044","Dr. Lima Majumder","Oncology","01341634495"
"D045","Dr. Mizan Karmakar","General Surgery","01422409411"
"D046","Dr. Nipa Uddin","ENT","01492700366"
"D047","Dr. Imran Ahmed","Dermatology","01956202714"
"D048","Dr. Moushumi Bhuiyan","Hematology","01309308896"
"D049","Dr. Shuvo Hasan","Psychiatry","01148811742"
"D050","Dr. Popy Majumder","Endocrinology","01510423891"
"D051","Dr. Tuhin Sikder","General Surgery","01786420766"
"D052","Dr. Sadia Uddin","Anesthesiology","01753911373"
"D053","Dr. Fahim Parvez","Pediatrics","01975597198"
"D054","Dr. Toma Bhuiyan","Gastroenterology","01439283274"
"D055","Dr. Nabil Karmakar","Gynecology","01849539381"
"D056","Dr. Mim Majumder","Radiology","01560168151"
"D057","Dr. Ashraf Ahmed","Nephrology","01767617792"
"D058","Dr. Rima Uddin","ENT","01970236640"
"D059","Dr. Sadik Hasan","Hematology","01822557666"
"D060","Dr. Nodi Bhuiyan","Pulmonology","01084762351"
"D061","Dr. Tarik Sikder","Anesthesiology","01916200677"
"D062","Dr. Puja Majumder","Oncology","01301812432"
"D063","Dr. Jubayer Parvez","Radiology","01312121442"
"D064","Dr. Sathi Uddin","Orthopedics","01151034123"
"D065","Dr. Anik Karmakar","Orthopedics","01517545678"
"D066","Dr. Bithi Bhuiyan","Cardiology","01143264594"
"D067","Dr. Sajid Ahmed","Pulmonology","01544563830"
"D068","Dr. Keya Majumder","Oncology","01249000942"
"D069","Dr. Rifat Hasan","Neurology","01465277389"
"D070","Dr. Anika Uddin","Medicine","01011214120"
"D071","Dr. Faysal Sikder","Ophthalmology","01225983055"
"D072","Dr. Farhana Bhuiyan","Anesthesiology","01551463118"
"D073","Dr. Mamun Parvez","ENT","01239215914"
"D074","Dr. Sohana Majumder","ENT","01757300935"
